Cam1_baseline,Cam1_distance,Cam1_slope,Cam1_intercept,Cam2_baseline,Cam2_distance,Cam2_slope,Cam2_intercept,Cam3_baseline,Cam3_distance,Cam3_slope,Cam3_intercept,Cam4_baseline,Cam4_distance,Cam4_slope,Cam4_intercept,Cam5_baseline,Cam5_distance,Cam6_baseline,Cam6_distance
-5.807870748856921,9.22877262773656,-0.7730693121523116,5.818946253809424,6.332393584505029,5.697949547069731,-0.7275331055682598,11.047558164825553,-0.2516817689328716,6.519358368266568,-0.7194398352978458,8.059210137165543,2.9222631417123863,5.912267467861058,-0.6790996843967286,7.476001674985365,,,,
-3.1140841702433537,8.417425856873614,,,1.243759994797601,9.44762765354188,,,-0.4619673885409867,7.593269596155475,,,-1.1166803934319558,8.762461234168757,,,,,,
-2.098033455470077,6.077062490511068,,,5.812595649977195,6.523311487294055,,,0.9061125654781412,6.967688023340203,,,-0.5850369566171478,5.811999595792249,,,,,,
-3.7773641829669744,6.8144595660417,,,1.6116310786214323,7.666014036080874,,,1.5281129536674345,6.562731153131186,,,-3.3425252493976982,8.567777639794686,,,,,,
-9.058336226877366,12.02347645746892,,,2.463696989420845,11.97429230555226,,,0.4455510756344524,9.126751879666603,,,-2.6966656572877565,7.672540134278151,,,,,,
0.8999444889502948,6.121962430341616,,,3.1581795833744595,5.923012592137925,,,-0.4975852036750433,9.07839458278617,,,-2.521575535150788,6.84690046927412,,,,,,
-6.900306109247564,15.847416670501769,,,-3.465405007316099,11.80115253507049,,,-1.3886560190553214,9.05805342911058,,,-2.898574157650284,11.466755025217228,,,,,,
-6.90066767346253,13.348630918854251,,,-2.130429211721036,13.198066766369127,,,0.4294087360714501,6.566358979913638,,,-1.8658683441991528,5.256700579315899,,,,,,
-7.208622182085556,14.399216591049251,,,-3.077389211940514,10.717635709042453,,,2.7130134092697795,2.510362984127863,,,-4.799050888043314,10.358286756428145,,,,,,
-2.098214332798912,8.899772892183968,,,3.0678124878523967,6.423545144655705,,,4.765151785804448,2.638495671741727,,,-6.091498740802905,7.523657562176821,,,,,,
-8.224964396428613,13.070904612351738,,,9.993008881947128,3.9416766548416495,,,-1.8262066824988368,7.344369209464128,,,-3.1542922218938645,4.318521023195704,,,,,,
-3.3645816199296497,9.680683255366562,,,-4.548771619132226,18.035789149789345,,,-2.4541063631192164,7.105688625149197,,,-2.458325088444325,4.423572519613513,,,,,,
-9.736711219608395,14.048515131898869,,,5.61754424534394,7.642837442802672,,,-0.1526919680370007,6.620111768471581,,,3.2198707551098527,4.799914848804301,,,,,,
