,Group,mean,std
0,WT-T1-TiTa,0.26090816326530614,0.16248030252578716
1,WT-T2-TiTa,0.2664527027027027,0.16422448110862797
2,WT-T3-TiTa,0.21356617647058826,0.10298127344084584
