,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
50,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.1,10000.0,"(5, 18)",Success
51,10000.0,10000.0,10000.0,10000.0,10000.0,0.33,10000.0,10000.0,10000.0,0.0,0.325,10000.0,"(5, 19)",Success
52,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.095,0.105,"(5, 20)",Success
53,10000.0,0.335,10000.0,0.25,0.315,0.31,0.355,0.355,10000.0,0.055,10000.0,10000.0,"(6, 10)",Success
54,10000.0,0.19,10000.0,0.255,10000.0,10000.0,10000.0,0.16,10000.0,0.005,10000.0,10000.0,"(6, 12)",Success
55,10000.0,0.51,0.435,0.44,10000.0,10000.0,10000.0,10000.0,10000.0,0.315,10000.0,10000.0,"(6, 13)",Success
56,10000.0,0.64,10000.0,0.63,10000.0,10000.0,0.6,10000.0,10000.0,0.0,0.64,0.645,"(6, 14)",Success
57,0.53,0.525,10000.0,0.245,0.595,10000.0,0.525,0.525,10000.0,0.145,0.575,10000.0,"(6, 15)",Success
58,10000.0,10000.0,0.67,0.665,10000.0,10000.0,10000.0,10000.0,10000.0,0.04,10000.0,10000.0,"(6, 16)",Failed
59,10000.0,10000.0,10000.0,0.45,10000.0,10000.0,0.5,10000.0,10000.0,0.12,10000.0,10000.0,"(6, 17)",Success
60,10000.0,0.61,10000.0,0.67,10000.0,0.66,10000.0,10000.0,10000.0,0.085,10000.0,10000.0,"(6, 18)",Success
61,10000.0,0.49,10000.0,0.255,0.495,0.285,0.38,0.385,10000.0,0.21,10000.0,10000.0,"(6, 19)",Success
62,10000.0,10000.0,10000.0,0.345,10000.0,0.51,10000.0,10000.0,10000.0,0.27,10000.0,10000.0,"(6, 20)",Success
63,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.21,0.21,10000.0,10000.0,"(7, 4)",Failed
64,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.31,10000.0,"(7, 5)",Failed
65,10000.0,10000.0,10000.0,10000.0,0.54,0.65,10000.0,10000.0,0.14,0.14,0.585,10000.0,"(7, 6)",Success
66,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.085,0.065,10000.0,10000.0,"(7, 7)",Failed
67,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.555,0.035,10000.0,10000.0,"(7, 9)",Failed
68,10000.0,10000.0,10000.0,10000.0,0.685,10000.0,10000.0,10000.0,0.16,0.16,0.61,10000.0,"(7, 10)",Failed
69,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.075,0.0,10000.0,10000.0,"(7, 11)",Failed
70,10000.0,10000.0,10000.0,10000.0,0.58,10000.0,10000.0,10000.0,0.07,0.07,0.22,10000.0,"(7, 12)",Success
71,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.055,0.0,0.405,0.405,"(7, 13)",Failed
72,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.22,0.0,10000.0,10000.0,"(7, 14)",Failed
73,10000.0,10000.0,10000.0,10000.0,0.67,0.67,10000.0,10000.0,0.12,0.12,0.505,10000.0,"(7, 15)",Failed
74,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.12,0.035,0.61,0.655,"(7, 16)",Failed
75,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.175,0.175,10000.0,10000.0,"(7, 17)",Failed
