,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,10000.0,"(1, 4)",Success
1,10000,10000,10000.0,10000.0,0.225,0.125,10000,10000,10000.0,0.41,0.205,0.03,"(1, 6)",Success
2,10000,10000,10000.0,10000.0,10000.0,0.1,10000,10000,10000.0,0.39,0.105,0.0,"(1, 9)",Success
3,10000,10000,10000.0,10000.0,10000.0,0.085,10000,10000,10000.0,10000.0,0.245,0.0,"(1, 10)",Success
4,10000,10000,10000.0,10000.0,10000.0,0.095,10000,10000,10000.0,10000.0,0.135,0.12,"(1, 11)",Success
5,10000,10000,10000.0,10000.0,10000.0,0.27,10000,10000,10000.0,10000.0,0.125,0.0,"(1, 12)",Success
6,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.0,"(1, 13)",Success
7,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,0.2,0.185,"(1, 14)",Success
8,10000,10000,10000.0,10000.0,0.235,0.195,10000,10000,10000.0,10000.0,10000.0,0.13,"(1, 15)",Success
9,10000,10000,10000.0,10000.0,10000.0,0.075,10000,10000,10000.0,10000.0,10000.0,10000.0,"(1, 17)",Success
10,10000,10000,10000.0,10000.0,10000.0,0.2,10000,10000,10000.0,0.31,0.43,0.0,"(1, 19)",Success
11,10000,10000,10000.0,10000.0,10000.0,0.255,10000,10000,10000.0,0.405,0.13,0.0,"(1, 20)",Failed
12,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,10000.0,"(3, 4)",Success
13,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,10000.0,"(3, 5)",Success
14,10000,10000,10000.0,10000.0,10000.0,0.11,10000,10000,10000.0,10000.0,10000.0,10000.0,"(3, 6)",Success
15,10000,10000,10000.0,10000.0,10000.0,0.125,10000,10000,10000.0,10000.0,10000.0,10000.0,"(3, 7)",Success
16,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,10000.0,"(3, 8)",Success
17,10000,10000,10000.0,10000.0,10000.0,0.13,10000,10000,10000.0,10000.0,10000.0,10000.0,"(3, 10)",Success
18,10000,10000,10000.0,10000.0,10000.0,0.205,10000,10000,10000.0,10000.0,0.15,0.0,"(3, 12)",Failed
19,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.02,"(3, 13)",Success
20,10000,10000,10000.0,10000.0,10000.0,0.15,10000,10000,10000.0,10000.0,10000.0,0.035,"(3, 15)",Success
21,10000,10000,10000.0,10000.0,10000.0,0.12,10000,10000,10000.0,10000.0,10000.0,10000.0,"(3, 16)",Success
22,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.04,"(3, 17)",Success
23,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.185,"(3, 19)",Success
24,10000,10000,10000.0,10000.0,10000.0,0.115,10000,10000,10000.0,10000.0,10000.0,0.03,"(3, 20)",Success
25,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.005,"(5, 4)",Success
26,10000,10000,10000.0,10000.0,10000.0,0.225,10000,10000,10000.0,10000.0,10000.0,0.07,"(5, 5)",Success
27,10000,10000,10000.0,10000.0,10000.0,0.24,10000,10000,10000.0,10000.0,10000.0,0.025,"(5, 6)",Success
28,10000,10000,10000.0,10000.0,10000.0,0.195,10000,10000,10000.0,10000.0,0.295,0.03,"(5, 7)",Success
29,10000,10000,10000.0,10000.0,10000.0,0.22,10000,10000,10000.0,10000.0,0.14,0.085,"(5, 8)",Success
30,10000,10000,10000.0,10000.0,10000.0,0.195,10000,10000,10000.0,10000.0,10000.0,0.03,"(5, 10)",Success
31,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,0.63,0.26,0.0,"(5, 11)",Success
32,10000,10000,10000.0,10000.0,0.535,0.34,10000,10000,10000.0,10000.0,0.52,0.055,"(5, 12)",Success
33,10000,10000,10000.0,10000.0,10000.0,0.155,10000,10000,10000.0,10000.0,0.085,0.08,"(5, 13)",Success
34,10000,10000,10000.0,10000.0,10000.0,0.485,10000,10000,10000.0,10000.0,0.19,0.075,"(5, 14)",Failed
35,10000,10000,10000.0,10000.0,10000.0,0.345,10000,10000,10000.0,10000.0,0.165,0.005,"(5, 15)",Success
36,10000,10000,10000.0,10000.0,10000.0,0.255,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 4)",Success
37,10000,10000,10000.0,10000.0,10000.0,0.21,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 5)",Success
38,10000,10000,10000.0,10000.0,0.39,0.385,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 6)",Success
39,10000,10000,10000.0,10000.0,0.37,10000.0,10000,10000,10000.0,10000.0,10000.0,10000.0,"(6, 7)",Success
40,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 8)",Success
41,10000,10000,10000.0,10000.0,10000.0,0.125,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 9)",Success
42,10000,10000,10000.0,10000.0,0.415,0.42,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 10)",Failed
43,10000,10000,10000.0,10000.0,0.325,0.215,10000,10000,10000.0,10000.0,0.465,0.085,"(6, 11)",Success
44,10000,10000,10000.0,10000.0,0.375,0.265,10000,10000,10000.0,10000.0,10000.0,0.01,"(6, 12)",Success
45,10000,10000,10000.0,10000.0,10000.0,0.095,10000,10000,10000.0,10000.0,10000.0,10000.0,"(6, 13)",Success
46,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 15)",Success
47,10000,10000,10000.0,10000.0,10000.0,0.14,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 17)",Success
48,10000,10000,10000.0,10000.0,10000.0,0.075,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 18)",Success
49,10000,10000,10000.0,10000.0,0.41,0.45,10000,10000,10000.0,10000.0,10000.0,0.025,"(6, 19)",Success
50,10000,10000,10000.0,10000.0,0.405,0.295,10000,10000,10000.0,10000.0,10000.0,0.0,"(6, 20)",Success
51,10000,10000,10000.0,10000.0,10000.0,0.095,10000,10000,10000.0,10000.0,10000.0,0.005,"(7, 5)",Success
52,10000,10000,10000.0,10000.0,10000.0,0.115,10000,10000,10000.0,10000.0,0.055,0.05,"(7, 7)",Success
53,10000,10000,10000.0,10000.0,10000.0,0.055,10000,10000,10000.0,10000.0,0.04,0.03,"(7, 9)",Success
54,10000,10000,10000.0,10000.0,10000.0,0.135,10000,10000,10000.0,10000.0,10000.0,0.16,"(7, 11)",Success
55,10000,10000,10000.0,10000.0,10000.0,0.1,10000,10000,10000.0,10000.0,0.26,0.055,"(7, 12)",Success
56,10000,10000,10000.0,10000.0,10000.0,0.175,10000,10000,10000.0,10000.0,10000.0,0.0,"(7, 14)",Success
57,10000,10000,10000.0,10000.0,10000.0,0.155,10000,10000,10000.0,10000.0,10000.0,0.005,"(7, 16)",Success
58,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,0.045,0.0,"(7, 18)",Success
59,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.01,"(9, 4)",Success
60,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.03,"(9, 5)",Success
61,10000,10000,10000.0,10000.0,10000.0,0.145,10000,10000,10000.0,10000.0,10000.0,0.0,"(9, 6)",Success
62,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.03,"(9, 7)",Success
63,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.03,"(9, 8)",Success
64,10000,10000,10000.0,10000.0,10000.0,0.125,10000,10000,10000.0,10000.0,10000.0,0.02,"(9, 9)",Success
65,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.035,"(9, 10)",Success
66,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.005,"(9, 11)",Success
67,10000,10000,10000.0,10000.0,0.245,0.25,10000,10000,10000.0,10000.0,0.12,0.235,"(9, 12)",Success
68,10000,10000,10000.0,10000.0,10000.0,0.145,10000,10000,10000.0,10000.0,0.105,0.0,"(9, 13)",Success
69,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,0.055,0.05,"(9, 14)",Success
70,10000,10000,10000.0,10000.0,10000.0,0.17,10000,10000,10000.0,10000.0,10000.0,0.02,"(9, 15)",Success
71,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,0.13,0.05,"(9, 16)",Success
72,10000,10000,10000.0,10000.0,0.185,0.18,10000,10000,10000.0,10000.0,0.2,0.07,"(9, 17)",Success
73,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,10000.0,0.01,"(9, 18)",Success
74,10000,10000,10000.0,10000.0,10000.0,10000.0,10000,10000,10000.0,10000.0,0.14,0.11,"(9, 20)",Success
75,10000,10000,10000.0,10000.0,0.15,0.265,10000,10000,0.46,0.46,0.075,0.055,"(10, 4)",Success
76,10000,10000,10000.0,10000.0,0.165,0.085,10000,10000,10000.0,0.445,0.055,0.0,"(10, 5)",Success
