,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,1,1,1,1,1,0,"(1, 4)",Success
1,1,4,3,2,3,2,"(1, 6)",Success
2,3,2,3,3,1,2,"(1, 9)",Success
3,2,1,4,3,1,1,"(1, 10)",Success
4,2,3,2,3,1,1,"(1, 11)",Success
5,2,2,2,1,2,0,"(1, 12)",Success
6,2,3,2,4,2,1,"(1, 13)",Success
7,4,2,6,3,2,2,"(1, 14)",Success
8,1,1,1,3,1,0,"(1, 15)",Success
9,2,2,1,1,1,1,"(1, 17)",Success
10,3,5,6,1,1,2,"(1, 19)",Success
11,2,4,3,2,2,2,"(1, 20)",Failed
12,1,2,0,1,1,0,"(3, 4)",Success
13,2,2,1,2,2,0,"(3, 5)",Success
14,1,1,1,2,1,0,"(3, 6)",Success
15,1,0,1,2,2,0,"(3, 7)",Success
16,2,2,1,2,2,0,"(3, 8)",Success
17,2,2,2,3,2,0,"(3, 10)",Success
18,5,1,4,3,3,3,"(3, 12)",Failed
19,0,0,1,1,2,0,"(3, 13)",Success
20,3,3,2,4,3,0,"(3, 15)",Success
21,2,0,2,2,4,1,"(3, 16)",Success
22,0,0,0,0,0,0,"(3, 17)",Success
23,2,3,3,2,2,0,"(3, 19)",Success
24,3,3,1,3,2,0,"(3, 20)",Success
25,1,2,1,1,1,0,"(5, 4)",Success
26,3,2,2,3,2,0,"(5, 5)",Success
27,2,3,1,3,1,0,"(5, 6)",Success
28,3,2,2,3,1,0,"(5, 7)",Success
29,3,3,2,1,1,0,"(5, 8)",Success
30,4,4,4,4,4,1,"(5, 10)",Success
31,3,3,4,4,3,1,"(5, 11)",Success
32,4,3,5,2,2,1,"(5, 12)",Success
33,5,3,5,4,3,2,"(5, 13)",Success
34,0,6,6,3,2,2,"(5, 14)",Failed
35,4,2,5,4,2,2,"(5, 15)",Success
36,5,4,4,3,2,0,"(6, 4)",Success
37,3,3,2,1,2,0,"(6, 5)",Success
38,4,5,4,3,3,1,"(6, 6)",Success
39,4,4,2,4,2,0,"(6, 7)",Success
40,4,5,3,3,4,0,"(6, 8)",Success
41,3,4,2,2,3,0,"(6, 9)",Success
42,6,5,4,5,4,1,"(6, 10)",Failed
43,4,5,4,6,2,0,"(6, 11)",Success
44,4,5,2,3,4,0,"(6, 12)",Success
45,3,3,2,2,1,0,"(6, 13)",Success
46,3,3,2,3,4,0,"(6, 15)",Success
47,4,4,2,2,2,0,"(6, 17)",Success
48,3,2,1,2,2,1,"(6, 18)",Success
49,6,5,3,4,3,0,"(6, 19)",Success
50,4,4,8,7,2,0,"(6, 20)",Success
51,2,2,2,2,2,0,"(7, 5)",Success
52,4,4,3,4,2,1,"(7, 7)",Success
53,3,3,2,2,1,0,"(7, 9)",Success
54,2,1,1,2,1,0,"(7, 11)",Success
55,1,2,2,4,1,0,"(7, 12)",Success
56,3,2,2,2,1,0,"(7, 14)",Success
57,2,3,1,2,1,0,"(7, 16)",Success
58,3,2,1,2,1,0,"(7, 18)",Success
59,1,0,2,1,1,0,"(9, 4)",Success
60,1,1,1,1,2,0,"(9, 5)",Success
61,1,2,2,2,2,0,"(9, 6)",Success
62,2,2,1,1,0,0,"(9, 7)",Success
63,3,3,1,2,2,0,"(9, 8)",Success
64,1,2,2,2,1,0,"(9, 9)",Success
65,1,2,2,2,1,0,"(9, 10)",Success
66,1,1,0,1,1,0,"(9, 11)",Success
67,4,3,2,2,1,2,"(9, 12)",Success
68,2,2,1,2,1,0,"(9, 13)",Success
69,2,2,1,2,2,1,"(9, 14)",Success
70,3,3,2,3,2,0,"(9, 15)",Success
71,2,3,2,3,1,1,"(9, 16)",Success
72,3,1,1,2,1,0,"(9, 17)",Success
73,1,1,1,2,2,0,"(9, 18)",Success
74,3,1,1,1,2,0,"(9, 20)",Success
75,6,3,4,6,4,4,"(10, 4)",Success
76,2,2,1,6,1,1,"(10, 5)",Success
77,1,1,4,5,4,3,"(10, 6)",Failed
78,5,2,5,3,4,5,"(10, 7)",Success
79,6,2,2,3,1,1,"(10, 8)",Success
80,2,4,5,3,4,3,"(10, 9)",Failed
81,0,0,2,0,0,0,"(10, 11)",Failed
82,5,4,2,7,3,2,"(10, 12)",Failed
83,3,3,6,4,2,5,"(10, 13)",Failed
84,3,7,4,3,1,4,"(10, 14)",Failed
85,5,3,4,6,2,7,"(10, 15)",Failed
86,1,6,5,5,3,2,"(10, 16)",Failed
87,2,6,4,7,1,3,"(10, 17)",Failed
88,5,4,5,5,3,3,"(10, 18)",Failed
89,2,2,5,1,2,1,"(10, 19)",Failed
90,2,2,6,4,3,3,"(10, 20)",Success
91,3,3,2,1,1,0,"(11, 4)",Success
92,3,2,2,3,2,0,"(11, 5)",Success
93,3,3,1,3,1,0,"(11, 7)",Success
94,5,7,5,4,4,2,"(11, 9)",Success
95,2,3,1,1,1,0,"(11, 10)",Success
96,5,4,5,5,2,1,"(11, 11)",Success
97,2,3,3,1,2,0,"(11, 12)",Success
98,4,3,5,5,4,0,"(11, 13)",Success
99,5,3,3,4,3,1,"(11, 14)",Success
100,3,3,3,4,2,0,"(11, 15)",Success
101,4,2,3,5,2,0,"(11, 16)",Success
102,5,3,3,1,1,2,"(11, 17)",Failed
103,4,5,4,5,2,0,"(11, 19)",Success
104,4,5,4,5,4,1,"(11, 20)",Success
105,3,3,2,2,3,0,"(12, 4)",Success
106,3,3,1,2,3,0,"(12, 5)",Success
107,1,2,2,2,1,1,"(12, 6)",Success
108,2,2,1,2,1,0,"(12, 7)",Success
109,2,2,1,2,2,0,"(12, 8)",Success
110,2,3,2,3,2,0,"(12, 9)",Success
111,2,2,2,4,3,0,"(12, 10)",Success
112,2,2,2,2,3,0,"(12, 11)",Success
113,3,3,2,2,2,1,"(12, 12)",Success
114,1,1,2,2,2,0,"(12, 13)",Success
115,2,2,1,1,1,1,"(12, 14)",Success
116,2,2,2,2,2,1,"(12, 15)",Success
117,3,1,3,3,5,1,"(12, 16)",Success
118,2,1,0,2,2,0,"(12, 17)",Success
119,3,3,2,3,3,0,"(12, 18)",Success
120,2,2,1,2,3,0,"(12, 19)",Success
121,2,1,2,3,2,0,"(12, 20)",Success
122,3,3,1,2,2,0,"(13, 5)",Success
123,5,4,4,4,3,1,"(13, 6)",Success
124,4,2,1,6,4,0,"(13, 7)",Success
125,4,3,4,4,4,2,"(13, 8)",Success
126,2,5,5,4,4,0,"(13, 9)",Success
127,3,3,3,1,3,1,"(13, 10)",Success
128,6,4,8,8,6,4,"(13, 11)",Success
129,4,3,3,5,4,3,"(13, 12)",Success
130,8,5,6,7,7,4,"(13, 13)",Success
131,5,3,3,5,3,2,"(13, 14)",Success
132,6,5,4,4,5,3,"(13, 15)",Success
133,3,3,2,2,2,0,"(13, 16)",Success
134,5,3,5,4,4,1,"(13, 17)",Success
135,2,3,6,6,3,3,"(13, 18)",Success
136,3,5,4,4,6,3,"(13, 19)",Success
137,7,4,6,7,7,2,"(13, 20)",Success
138,2,2,1,1,1,0,"(15, 4)",Success
139,7,5,5,3,5,3,"(15, 5)",Success
140,3,4,2,4,4,0,"(15, 6)",Success
141,2,3,0,1,2,0,"(15, 7)",Success
142,7,7,4,3,5,1,"(15, 8)",Success
143,5,3,4,4,4,1,"(15, 9)",Success
144,6,7,5,2,1,3,"(15, 10)",Success
145,4,2,3,4,2,2,"(15, 11)",Success
146,4,4,4,3,2,0,"(15, 12)",Success
147,3,2,2,2,3,0,"(15, 16)",Success
148,3,2,5,3,2,1,"(15, 18)",Success
149,3,3,3,3,2,0,"(15, 19)",Success
150,1,3,1,2,2,0,"(16, 4)",Success
151,3,3,2,3,2,0,"(16, 5)",Success
152,5,1,4,3,2,1,"(16, 6)",Success
153,3,1,1,2,2,0,"(16, 7)",Success
154,4,3,2,4,2,0,"(16, 8)",Success
155,5,3,3,4,2,2,"(16, 9)",Success
156,5,3,3,5,2,1,"(16, 10)",Success
157,7,3,9,4,3,3,"(16, 12)",Success
158,2,4,4,4,1,2,"(16, 13)",Success
159,4,3,2,2,3,1,"(16, 14)",Success
160,6,5,4,4,2,0,"(16, 15)",Success
161,6,6,6,5,2,1,"(16, 16)",Success
162,7,5,4,3,2,1,"(16, 17)",Success
163,9,7,10,9,3,1,"(16, 18)",Failed
164,5,5,4,3,1,1,"(16, 19)",Success
165,5,4,3,5,5,0,"(16, 20)",Success
166,3,4,2,3,4,0,"(17, 5)",Success
167,1,2,1,1,2,0,"(17, 8)",Success
168,2,2,2,2,2,0,"(17, 10)",Success
169,1,2,1,1,1,1,"(17, 11)",Success
170,1,2,0,1,2,0,"(17, 12)",Success
171,2,3,1,3,2,1,"(17, 13)",Success
172,1,2,1,2,1,1,"(17, 14)",Success
173,1,1,3,3,1,0,"(17, 16)",Success
174,1,2,1,1,1,0,"(17, 18)",Success
175,1,1,1,1,1,0,"(17, 19)",Success
176,1,0,1,1,1,0,"(17, 20)",Success
177,3,1,2,2,2,0,"(18, 4)",Success
178,1,2,1,2,1,0,"(18, 5)",Success
179,4,3,3,2,1,1,"(18, 7)",Success
180,1,2,2,3,2,0,"(18, 8)",Success
181,1,2,2,2,2,0,"(18, 9)",Success
182,2,2,2,3,2,0,"(18, 10)",Success
183,2,4,1,2,1,0,"(18, 11)",Success
184,2,0,1,2,1,1,"(18, 12)",Success
185,4,4,3,1,3,0,"(18, 13)",Success
186,3,4,2,3,2,1,"(18, 14)",Success
187,1,1,1,2,1,0,"(18, 16)",Success
188,4,2,3,4,2,0,"(18, 18)",Success
189,2,2,2,3,1,0,"(18, 19)",Success
190,1,1,0,1,1,0,"(18, 20)",Success
